No,項目名,サンプル値,用途,備考
1,担当者CD,0449,,
2,処理区分,1,,
3,成約NO,M25052000015,,
4,成約NO枝番,0000,,
5,成約NO行番,1,,
6,貨物区分,0,,
7,貨物区分名,,,
8,契約顧客区分,0,,
9,契約顧客区分名,,,
10,請求先CD,U00001,,
11,請求先正式名,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,,
12,成約先状況1,ETD 2026/4/1分から適用,,
13,成約先状況2,2025年度実績無い為、見積提示しない。,,
14,成約先状況3,,,
15,成約先状況4,,,
16,成約先状況5,M2025052000003,,
17,成約先状況6,M25052000015,,
18,作業形態CD,EFCL,,
19,作業形態名,,,
20,荷主CD,U00001,,
21,荷主名,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,,
22,契約期間開始日,2026/1/1 0:00:00,,
23,契約期間終了日,2026/9/30 0:00:00,,
24,PlaceofReceiptCD,CNSHA,,
25,PlaceofReceipt名,,,
26,CarrierCD,HAS,,
27,Carrier名,,,
28,RouteCD,1,,
29,Route名,,,
30,PlaceofDeliveryCD,JPOSA,,
31,PlaceofDelivery名,,,
32,請求項目CD,2041,,
33,請求項目名,,,
34,請求項目通貨CD,JPY,,
35,請求項目通貨名,,,
36,請求項目単位CD,C00,,
37,請求項目単位名,,,
38,請求項目単価,3000,,
39,備考,ETDベース,,
40,運送形態CD,,,
41,運送形態名,,,
42,発地CD,,,
43,発地名,,,
44,発地住所,,,
45,着地CD,,,
46,着地名,,,
47,着地住所,,,
48,ChargeCD1,2030,,
49,Charge名1,CARRIERS DOC FEE■,,
50,Charge通貨単位CD1,JPY,,
51,Charge通貨単位名1,,,
52,Charge単位CD1,14,,
53,Charge単位名1,,,
54,Charge単価1,6000,,
55,ChargeCD2,2031,,
56,Charge名2,CARRIERS DOC FEE※■,,
57,Charge通貨単位CD2,JPY,,
58,Charge通貨単位名2,,,
59,Charge単位CD2,14,,
60,Charge単位名2,,,
61,Charge単価2,4000,,
62,ChargeCD3,2010,,
63,Charge名3,THC■,,
64,Charge通貨単位CD3,JPY,,
65,Charge通貨単位名3,,,
66,Charge単位CD3,C02,,
67,Charge単位名3,,,
68,Charge単価3,36000,,
69,ChargeCD4,2050,,
70,Charge名4,FAF,,
71,Charge通貨単位CD4,USD,,
72,Charge通貨単位名4,,,
73,Charge単位CD4,C02,,
74,Charge単位名4,,,
75,Charge単価4,200,,
76,ChargeCD5,2060,,
77,Charge名5,YAS,,
78,Charge通貨単位CD5,USD,,
79,Charge通貨単位名5,,,
80,Charge単位CD5,C02,,
81,Charge単位名5,,,
82,Charge単価5,30,,
83,ChargeCD6,2220,,
84,Charge名6,LSS,,
85,Charge通貨単位CD6,USD,,
86,Charge通貨単位名6,,,
87,Charge単位CD6,C02,,
88,Charge単位名6,,,
89,Charge単価6,200,,
90,ChargeCD7,,,
91,Charge名7,,,
92,Charge通貨単位CD7,,,
93,Charge通貨単位名7,,,
94,Charge単位CD7,,,
95,Charge単位名7,,,
96,Charge単価7,,,
97,ChargeCD8,2160,,
98,Charge名8,CIC,,
99,Charge通貨単位CD8,USD,,
100,Charge通貨単位名8,,,
101,Charge単位CD8,C02,,
102,Charge単位名8,,,
103,Charge単価8,180,,
104,ChargeCD9,2210,,
105,Charge名9,EMC,,
106,Charge通貨単位CD9,JPY,,
107,Charge通貨単位名9,,,
108,Charge単位CD9,C02,,
109,Charge単位名9,,,
110,Charge単価9,3000,,
111,ChargeCD10,2211,,
112,Charge名10,EMC※,,
113,Charge通貨単位CD10,JPY,,
114,Charge通貨単位名10,,,
115,Charge単位CD10,C02,,
116,Charge単位名10,,,
117,Charge単価10,2727,,
118,ChargeCD11,2940,,
119,Charge名11,EMERGENCY FUEL SURCH,,
120,Charge通貨単位CD11,USD,,
121,Charge通貨単位名11,,,
122,Charge単位CD11,C02,,
123,Charge単位名11,,,
124,Charge単価11,85,,
125,ChargeCD12,2120,,
126,Charge名12,HOT DELIVERY SERVICE,,
127,Charge通貨単位CD12,JPY,,
128,Charge通貨単位名12,,,
129,Charge単位CD12,C02,,
130,Charge単位名12,,,
131,Charge単価12,20000,,
132,ChargeCD13,,,
133,Charge名13,,,
134,Charge通貨単位CD13,,,
135,Charge通貨単位名13,,,
136,Charge単位CD13,,,
137,Charge単位名13,,,
138,Charge単価13,,,
139,ChargeCD14,,,
140,Charge名14,,,
141,Charge通貨単位CD14,,,
142,Charge通貨単位名14,,,
143,Charge単位CD14,,,
144,Charge単位名14,,,
145,Charge単価14,,,
146,ChargeCD15,,,
147,Charge名15,,,
148,Charge通貨単位CD15,,,
149,Charge通貨単位名15,,,
150,Charge単位CD15,,,
151,Charge単位名15,,,
152,Charge単価15,,,
153,ChargeCD16,,,
154,Charge名16,,,
155,Charge通貨単位CD16,,,
156,Charge通貨単位名16,,,
157,Charge単位CD16,,,
158,Charge単位名16,,,
159,Charge単価16,,,
160,ChargeCD17,,,
161,Charge名17,,,
162,Charge通貨単位CD17,,,
163,Charge通貨単位名17,,,
164,Charge単位CD17,,,
165,Charge単位名17,,,
166,Charge単価17,,,
167,ChargeCD18,,,
168,Charge名18,,,
169,Charge通貨単位CD18,,,
170,Charge通貨単位名18,,,
171,Charge単位CD18,,,
172,Charge単位名18,,,
173,Charge単価18,,,
174,ChargeCD19,,,
175,Charge名19,,,
176,Charge通貨単位CD19,,,
177,Charge通貨単位名19,,,
178,Charge単位CD19,,,
179,Charge単位名19,,,
180,Charge単価19,,,
181,ChargeCD20,,,
182,Charge名20,,,
183,Charge通貨単位CD20,,,
184,Charge通貨単位名20,,,
185,Charge単位CD20,,,
186,Charge単位名20,,,
187,Charge単価20,,,
